Filename,BOW_1,BOW_2,BOW_3,BOW_4,BOW_5,BOW_6,BOW_7,BOW_8,BOW_9,BOW_10,BOW_11,BOW_12,BOW_13,BOW_14,BOW_15,BOW_16,BOW_17,BOW_18,BOW_19,BOW_20,BOW_21,BOW_22,BOW_23,BOW_24,BOW_25,BOW_26,BOW_27,BOW_28,BOW_29,BOW_30,BOW_31,BOW_32,BOW_33,BOW_34,BOW_35,BOW_36,BOW_37,BOW_38,BOW_39,BOW_40,BOW_41,BOW_42,BOW_43,BOW_44,BOW_45,BOW_46,BOW_47,BOW_48,BOW_49,BOW_50,BOW_51,BOW_52,BOW_53,BOW_54,BOW_55,BOW_56,BOW_57,BOW_58,BOW_59,BOW_60,BOW_61,BOW_62,BOW_63,BOW_64,BOW_65,BOW_66,BOW_67,BOW_68,BOW_69,BOW_70,BOW_71,BOW_72,BOW_73,BOW_74,BOW_75,BOW_76,BOW_77,BOW_78,BOW_79,BOW_80,BOW_81,BOW_82,BOW_83,BOW_84,BOW_85,BOW_86,BOW_87,BOW_88,BOW_89,BOW_90,BOW_91,BOW_92
trial_lie_001.txt,1,2,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_lie_002.txt,1,1,2,21,2,1,2.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,5.0,13.0,3.0,1.0,1.0,8.0,2.0,2.0,1.0,1.0,2.0,8.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
trial_lie_003.txt,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_lie_004.txt,1,2,1,1,1,1,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_lie_005.txt,1,4,1,14,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,15.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,3.0,5.0,1.0,11.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
trial_lie_006.txt,1,1,1,2,1,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_lie_007.txt,1,1,1,1,4,6,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
trial_lie_008.txt,1,1,1,1,1,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_lie_009.txt,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_lie_010.txt,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
